*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=cascade_trigger_01
*Date=17:18:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
252;;;43.1166;-4.52966;0;Bottom;Copper Fill462
253;;DIP (Dual Inline) [THT];91.4034;-17.5215;180;Bottom;driv 6
254;100µF;100 mil [THT, electrolytic];19.0134;-31.4915;-90;Bottom;100µF1
255;;;77.4066;-38.7181;0;Bottom;Copper Fill110
256;;THT;6.56737;-35.1745;180;Bottom;J1
257;;;9.2202;-63.2926;0;Bottom;Copper Fill380
258;;;12.6366;-4.58046;0;Bottom;Copper Fill495
259;;;22.7966;-82.0252;0;Bottom;Copper Fill365
260;;;54.5466;-9.60966;0;Bottom;Copper Fill476
261;;;103.632;-9.25406;0;Bottom;Copper Fill95
262;;;140.538;-67.1026;0;Bottom;Copper Fill389
263;;;51.9177;-61.7051;0;Bottom;Copper Fill248
264;;;140.538;-72.1827;0;Bottom;Copper Fill165
265;;;85.1464;-32.3967;0;Bottom;Via1
266;;;145.542;-55.6726;0;Bottom;Copper Fill127
267;;;2.3622;-81.4664;0;Bottom;Copper Fill234
268;;;129.527;-81.8551;0;Bottom;T1_7
269;;;90.1193;-7.34906;0;Bottom;Copper Fill102
270;;;138.722;-35.6955;0;Bottom;Copper Fill413
271;;;142.875;-31.5426;0;Bottom;Copper Fill198
272;56;THT;31.7134;-37.8415;-90;Bottom;R LED 1
273;;;31.6866;-51.4943;0;Bottom;Copper Fill117
274;;;143.802;-24.8751;0;Bottom;Copper Fill178
275;;;83.7501;-45.4654;180;Bottom;Teensy
276;;;44.9835;-37.2703;0;Bottom;Copper Fill265
277;;;24.9937;-3.65336;0;Bottom;Copper Fill231
278;;;90.1701;-4.80906;0;Bottom;Copper Fill106
279;;;16.4466;-75.0656;0;Bottom;Copper Fill347
280;;;91.3893;-17.5091;0;Bottom;Copper Fill79
281;;;16.4466;-76.9452;0;Bottom;Copper Fill346
282;;;60.9093;-67.8774;0;Bottom;Copper Fill51
283;;;31.2421;-21.3826;0;Bottom;Copper Fill158
284;;;89.4081;-8.94926;0;Bottom;Copper Fill88
285;;;27.8766;-76.9452;0;Bottom;Copper Fill358
286;10k;THT;44.4063;-58.1547;0;Bottom;Pdwn 10k1
287;;;123.8;-82.2284;0;Bottom;Copper Fill11
288;;;24.9937;-3.65336;0;Bottom;Copper Fill514
289;;;109.601;-34.0826;0;Bottom;Copper Fill337
290;;;56.9215;-64.4991;0;Bottom;Copper Fill46
291;4.7µF;100 mil [THT, electrolytic];100.293;-20.0615;90;Bottom;100µF6
292;;;53.5941;-3.60256;0;Bottom;Copper Fill474
293;;;18.9866;-51.4943;0;Bottom;Copper Fill184
294;;;137.973;-7.67926;0;Bottom;Copper Fill90
295;;;38.4557;-18.8426;0;Bottom;Copper Fill443
296;;;87.6047;-69.9094;0;Bottom;Copper Fill33
297;;;48.1966;-7.73006;0;Bottom;Copper Fill467
298;;;7.5565;-4.58046;0;Bottom;Copper Fill491
299;;;143.739;-55.6726;0;Bottom;Copper Fill126
300;;;145.542;-60.7526;0;Bottom;Copper Fill130
301;;;122.25;-44.2426;0;Bottom;Copper Fill334
302;;;143.802;-17.9155;0;Bottom;Copper Fill405
303;;;11.3666;-82.0252;0;Bottom;Copper Fill150
304;;;21.5433;-2.73438;180;Bottom;T1_16
305;;;97.7533;-11.1716;0;Bottom;Via13
306;;;66.8021;-25.1926;0;Bottom;Copper Fill424
307;;;138.722;-22.9955;0;Bottom;Copper Fill162
308;;;125.677;-2.72451;180;Bottom;T1_10
309;;;114.247;-2.72451;180;Bottom;T1_9
310;;;143.739;-60.7526;0;Bottom;Copper Fill303
311;;;85.6235;-19.8967;0;Bottom;Copper Fill78
312;;;128.219;-77.25;0;Bottom;Copper Fill19
313;;;58.6741;-3.60256;0;Bottom;Copper Fill481
314;;;112.916;-52.3325;0;Bottom;Copper Fill290
315;;;110.007;-27.6183;0;Bottom;Copper Fill275
316;;;93.9531;-81.8417;0;Bottom;T1_5
317;;;76.1735;-30.1123;0;Bottom;TXT1
318;;;4.572;-21.3826;0;Bottom;Copper Fill448
319;;;107.925;-39.9119;0;Bottom;Copper Fill66
320;;;139.675;-31.5426;0;Bottom;Copper Fill431
321;;;127.813;-61.248;0;Bottom;Copper Fill57
322;;DIP (Dual Inline) [THT];77.4334;-17.5215;180;Bottom;termin 6
323;;;38.4557;-16.3026;0;Bottom;Copper Fill207
324;10k;THT;10.1163;-58.1547;0;Bottom;Pdwn 10k
325;;;82.4993;-67.0391;0;Bottom;Copper Fill37
326;;;39.3066;-51.4943;0;Bottom;Copper Fill200
327;;;49.4793;-77.1992;0;Bottom;Copper Fill26
328;;;40.1321;-21.3826;0;Bottom;Copper Fill427
329;;;60.5537;-3.60256;0;Bottom;Copper Fill222
330;;;5.0165;-57.3617;0;Bottom;Copper Fill395
